freq,unit,indic_il,deg_urb,sex,age,geo\TIME_PERIOD	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,PPS,MED_E,DEG2,T,Y_GE65,DE	: 	: 	14188 	13845 	15302 	16152 	16303 	15844 	16552 	17617 b	18111 	17715 	18395 	18641 	19015 	19510 	20173 	20766 b	20754 	20279 
A,PPS,MED_E,DEG2,T,Y_GE65,DK	11779 	11500 	11571 	12035 	12346 	12822 	13229 	13525 	14834 b	15638 b	16479 	17132 	16924 	17074 	17257 	17780 	18132 	17877 b	18750 	18752 
A,PPS,MED_E,DEG2,T,Y_GE65,EA	: 	: 	: 	: 	: 	14710 e	14942 e	14855 e	15455 e	16001 e	16538 e	16340 e	16737 e	17404 e	17436 e	17636 e	18314 	18442 b	18518 	: 
A,PPS,MED_E,DEG2,T,Y_GE65,EA18	: 	: 	12307 e	12484 e	13257 e	14566 e	14935 e	14850 e	15451 e	15987 	16520 	16340 	16740 	17409 	17441 	17641 	18318 	18473 b	: 	: 
A,PPS,MED_E,DEG2,T,Y_GE65,EA19	: 	: 	12307 e	12484 e	13297 e	14566 e	14935 e	14850 e	15451 e	15961 	16494 	16315 	16737 e	17404 	17436 	17636 	18314 	18442 b	18518 	: 
A,PPS,MED_E,DEG2,T,Y_GE65,EA20	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	16256 	16656 	17306 	17324 	17529 	18208 	18346 	18396 	18353 
A,PPS,MED_E,DEG2,T,Y_GE65,EE	: 	: u	: u	3321 u	4954 u	7328 u	5526 u	5898 u	5632 u	5984 b	6274 	6649 b	7249 	7864 	8280 	8146 	8893 	9056 	9260 	9633 
A,PPS,MED_E,DEG2,T,Y_GE65,EL	10136 	: u	: u	11361 	12311 	11920 	12732 	12150 	10726 	11096 b	10082 	9058 	9692 	9836 	9612 	9706 	10215 	10655 	10425 	10970 
A,PPS,MED_E,DEG2,T,Y_GE65,ES	: 	9506 	9357 	9315 	10252 	12453 b	13764 	12697 	12855 	13150 b	14102 	14257 	14638 	15813 	15365 	15331 	16248 	16682 	15807 	16471 
A,PPS,MED_E,DEG2,T,Y_GE65,EU	: 	: 	: 	: 	: 	14040 e	14296 e	14224 e	14623 e	14621 e	15164 e	15134 e	15706 e	16100 e	16126 e	16333 e	16956 e	: 	: 	: 
A,PPS,MED_E,DEG2,T,Y_GE65,EU27_2007	: 	: 	11873 e	12146 e	12955 e	14040 e	14296 e	14270 e	14664 e	14661 	15221 	15187 	15759 e	16163 	16195 	16399 	17023 e	: 	: 	: 
A,PPS,MED_E,DEG2,T,Y_GE65,EU27_2020	: 	: 	: 	: 	: 	: 	: 	14234 e	14825 e	14669 e	15205 e	15226 e	15605 e	16168 e	16049 e	16272 e	16981 e	17098 b	17209 	17385 
A,PPS,MED_E,DEG2,T,Y_GE65,EU28	: 	: 	: 	: 	: 	: 	: 	14224 e	14623 e	14621 	15164 	15134 	15706 e	16100 	16126 	16333 	16956 e	: 	: 	: 
A,PPS,MED_E,DEG2,T,Y_GE65,FI	: 	10763 	10927 	12026 	12660 	13507 	14082 	14112 	14812 	15718 b	16405 	16044 	16671 	17347 	17021 	17186 	17224 	17119 	16975 	17189 
A,PPS,MED_E,DEG2,T,Y_GE65,FR	: 	12347 	12477 	13060 	13533 	16250 b	16749 	16857 	17840 	17802 b	19040 	19216 	20176 	20727 	19842 	19714 	20785 	19085 b	19391 	19131 b
A,PPS,MED_E,DEG2,T,Y_GE65,HR	: 	: 	: 	: 	: 	: 	: 	6766 	6546 	6626 b	7221 	7427 	7912 	7914 	8034 	8191 	8318 	8979 	9208 	9763 
A,PPS,MED_E,DEG2,T,Y_GE65,HU	: 	: 	5535 	5782 	6328 	6517 	6761 	6867 	7170 	7341 b	7399 	7831 	7680 	8396 	7905 	8222 	8234 	8505 	8779 	9688 
A,PPS,MED_E,DEG2,T,Y_GE65,IE	9117 	9771 	10519 	11206 	12828 	14206 	14380 	15473 	14942 	14805 b	16063 	14265 	16193 	14525 	14674 	15542 	17275 	18368 b	18543 	16378 
A,PPS,MED_E,DEG2,T,Y_GE65,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	16950 	17609 	19176 	19874 	22288 	: 	: 	: 	: 
A,PPS,MED_E,DEG2,T,Y_GE65,IT	: 	11732 	11734 	12218 	12715 	13401 	13629 	13766 	14478 	14796 	14989 	15132 	15033 b	16287 	16714 	16846 	17050 	17890 	18014 	18030 
A,PPS,MED_E,DEG2,T,Y_GE65,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	5571 b	5950 	6048 	6443 u	7440 	7507 	6344 	8951 	8353 	9873 	9938 
A,PPS,MED_E,DEG2,T,Y_GE65,LU	24232 	26098 	27508 	26606 	26760 	26649 	28535 	28082 	28819 	27622 b	29073 	28981 	29254 	31191 b	30490 	33056 	33901 	33905 b	34644 b	34131 b
A,PPS,MED_E,DEG2,T,Y_GE65,LV	: 	: 	: u	3209 u	4965 u	5334 	5807 	5615 	6298 	5336 b	5340 	5753 	5877 	6330 	6192 	6286 	6659 	7927 	8303 	9980 
A,PPS,MED_E,DEG2,T,Y_GE65,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5559 	5968 	6080 	6112 	6723 	: 	: 
A,PPS,MED_E,DEG2,T,Y_GE65,MT	: 	: 	8045 	9221 	10006 	9764 	10968 	10061 	10377 	11782 b	12488 	12186 	13142 	13469 	12893 	12801 	13241 	13203 	15506 	16634 
A,PPS,MED_E,DEG2,T,Y_GE65,NL	: 	: 	13824 	13999 	14289 	15731 	16244 	16544 	16204 	17475 b	17725 	17147 	17793 	18386 b	17991 	18357 	18515 	18504 	19091 	19777 
A,PPS,MED_E,DEG2,T,Y_GE65,NO	: 	14960 	15594 	16023 	17044 	19271 	20047 	20177 	21201 	23490 b	24250 	: 	26474 	26079 	24756 	24802 	25172 	25877 	24339 b	25713 
A,PPS,MED_E,DEG2,T,Y_GE65,PL	: 	: 	4925 	5238 	5564 	6526 	6666 	6931 	7533 	8324 b	9281 	9706 	10092 	10857 	10634 	10697 	11315 	11859 	12558 	13877 
A,PPS,MED_E,DEG2,T,Y_GE65,PT	: 	5963 	6304 	6614 	6911 	7533 	7914 	8091 	8299 	9377 b	9408 	9881 	9683 	10006 	10156 	10009 	11017 	11663 	11850 	11786 
A,PPS,MED_E,DEG2,T,Y_GE65,RO	: 	: 	: 	: 	2953 u	3821 u	4243 u	4904 u	4882 u	4354 b	4566 	4528 	4715 	4998 	5452 	6172 	7085 	7564 	7772 	9911 
A,PPS,MED_E,DEG2,T,Y_GE65,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5070 	5197 	5502 	5430 	5560 	5662 	5826 	6317 	6810 	6917 
A,PPS,MED_E,DEG2,T,Y_GE65,SE	: 	12427 	12801 	14161 	13790 	15381 b	15705 	15350 	15481 	16187 b	16606 	16735 	16945 	17272 	16839 	17225 	17297 	16942 	17825 	17296 
A,PPS,MED_E,DEG2,T,Y_GE65,SI	: 	: 	10054 	10457 	11468 	12030 	12487 	11869 	12421 	12734 b	12840 	13185 	14253 	14230 	14019 	13767 	14224 	14572 	15091 	15580 
A,PPS,MED_E,DEG2,T,Y_GE65,SK	: 	: 	3639 	4066 	4781 	5594 	6608 	7266 	7895 	8282 b	8824 	9037 	9438 	9726 	8698 	8980 	9168 	8701 	8788 	9268 
A,PPS,MED_E,DEG2,T,Y_GE65,UK	: 	: 	13376 	14019 	15490 	14867 	14115 	14109 	13314 	14297 b	14895 	14482 	16425 	15586 	16689 b	16765 	: 	: 	: 	: 
A,PPS,MED_E,DEG2,T,Y_GE75,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3835 	3801 	4182 	3971 	3991 	: 
A,PPS,MED_E,DEG2,T,Y_GE75,AT	14579 	14560 	16601 	16440 	15827 	16872 b	16099 	16437 	17614 	18406 b	19215 	20108 	20339 	21879 	22564 	22636 	23436 	22633 	22031 	24057 
A,PPS,MED_E,DEG2,T,Y_GE75,BE	11630 	11061 	11055 	11278 	11636 	12212 	12043 	12578 	12615 	13571 b	14798 	14722 	15509 	16018 	16245 	15880 	16309 b	15757 	16742 	16849 
A,PPS,MED_E,DEG2,T,Y_GE75,BG	: 	: 	: 	2810 	2716 	3357 	3909 	4953 	4461 	4163 b	4398 	5330 	4677 	4883 b	4957 	4952 	5411 	5276 	5812 	5651 
A,PPS,MED_E,DEG2,T,Y_GE75,CH	: 	: 	: 	: 	13847 	13977 	13690 	15338 	15070 	17342 b	18289 	19689 b	20500 	22313 	21793 	21456 	20755 	19687 	19659 	20333 
A,PPS,MED_E,DEG2,T,Y_GE75,CY	: 	: 	7971 u	8664 	8361 	9035 b	9950 	9863 	10767 	11240 b	10831 	10809 	10876 	11672 	11794 	12121 	11795 	11878 	12565 	13367 
A,PPS,MED_E,DEG2,T,Y_GE75,CZ	: 	: 	6328 	6682 	7179 	7590 	7354 	7828 	8070 	8553 b	9006 	9099 	9167 	9599 	9480 	9612 	9891 	10226 	10574 	11227 
A,PPS,MED_E,DEG2,T,Y_GE75,DE	: 	: 	13664 	13300 	14644 	15904 	16087 	16322 	16756 	18208 b	18519 	17793 	18193 	18380 	18881 	19677 	20587 	20534 b	20454 	19931 
A,PPS,MED_E,DEG2,T,Y_GE75,DK	10908 	10727 	11238 	11387 	11551 	12280 	12378 	12547 	13377 b	14828 b	14866 	16327 	16023 	16263 	16210 	16521 	17188 	16599 b	17643 	17500 
A,PPS,MED_E,DEG2,T,Y_GE75,EA	: 	: 	: 	: 	: 	13833 e	13884 e	13951 e	14638 e	15535 e	15936 e	15688 e	15956 e	16619 e	16725 e	17158 e	17802 e	17660 b	17716 	: 
A,PPS,MED_E,DEG2,T,Y_GE75,EA18	: 	: 	11726 e	11823 e	12439 e	13699 e	13880 e	13947 e	14634 e	15521 	15920 	15688 	15960 	16623 	16730 	17162 	17806 	17691 b	: 	: 
A,PPS,MED_E,DEG2,T,Y_GE75,EA19	: 	: 	11726 e	11823 e	12475 e	13699 e	13880 e	13947 e	14634 e	15495 	15895 	15661 	15956 e	16619 e	16725 e	17158 e	17802 e	17660 b	17716 	: 
A,PPS,MED_E,DEG2,T,Y_GE75,EA20	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	15613 	15886 	16532 	16622 	17055 	17707 	17574 	17618 	17574 
A,PPS,MED_E,DEG2,T,Y_GE75,EE	: 	: u	: u	: u	: u	: u	: u	: u	: u	5808 b	6274 	6132 b	6604 	7022 	7402 	7205 	7655 	7695 	8253 	8776 
A,PPS,MED_E,DEG2,T,Y_GE75,EL	9812 	: u	: u	11116 	11215 	11022 	11590 	10384 	10161 	10356 b	9174 	8397 	8943 	9383 	8845 	9141 	9493 	10073 	9821 	10647 
A,PPS,MED_E,DEG2,T,Y_GE75,ES	: 	9398 	8469 	8646 	9840 	11721 b	12696 	11836 	11946 	12236 b	12644 	13214 	13335 	14786 	13659 	13775 	14771 	15741 	14454 	14683 
A,PPS,MED_E,DEG2,T,Y_GE75,EU	: 	: 	: 	: 	: 	13169 e	13268 e	13284 e	13820 e	14185 e	14719 e	14565 e	15016 e	15436 e	15498 e	15885 e	16500 e	: 	: 	: 
A,PPS,MED_E,DEG2,T,Y_GE75,EU27_2007	: 	: 	11328 e	11467 e	12098 e	13169 e	13268 e	13324 e	13858 e	14220 	14771 	14613 	15064 e	15492 e	15565 e	15951 e	16563 e	: 	: 	: 
A,PPS,MED_E,DEG2,T,Y_GE75,EU27_2020	: 	: 	: 	: 	: 	: 	: 	13364 e	14056 e	14316 e	14765 e	14727 e	14943 e	15562 e	15537 e	15980 e	16665 e	16551 b	16693 	16775 
A,PPS,MED_E,DEG2,T,Y_GE75,EU28	: 	: 	: 	: 	: 	: 	: 	13284 e	13820 e	14185 	14719 	14565 	15016 e	15436 e	15498 e	15885 e	16500 e	: 	: 	: 
A,PPS,MED_E,DEG2,T,Y_GE75,FI	: 	10128 	10200 	11399 	12238 	12215 	12933 	13217 	12974 	13014 b	13967 	14365 	14478 	15500 	15359 	15337 	16018 	15810 	16003 	16243 
A,PPS,MED_E,DEG2,T,Y_GE75,FR	: 	11909 	12029 	12613 	12656 	15152 b	15413 	14778 	15757 	16648 b	17014 	17377 	18333 	19018 	18718 	18873 	19789 	18089 b	18856 	18948 b
A,PPS,MED_E,DEG2,T,Y_GE75,HR	: 	: 	: 	: 	: 	: 	: 	6524 	5855 	5928 b	6713 	7008 	7612 	7667 	7400 	7479 	7763 	8127 	8370 	8780 
A,PPS,MED_E,DEG2,T,Y_GE75,HU	: 	: 	5551 	5696 	6109 	6514 	6361 	6722 	7122 	6994 b	7222 	7906 	7467 	8252 	7736 	7944 	7840 	7640 	8367 	9261 
A,PPS,MED_E,DEG2,T,Y_GE75,IE	8868 	9729 	10205 	10884 	12226 	13876 	12798 	14568 	14395 	13646 b	15057 	13516 	15292 	14054 	14028 	14608 	16181 	19301 b	16471 	16107 
A,PPS,MED_E,DEG2,T,Y_GE75,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	15471 	16340 	16736 	16767 u	19464 u	: 	: 	: 	: 
A,PPS,MED_E,DEG2,T,Y_GE75,IT	: 	11616 	11573 	11865 	12564 	12991 	13028 	13198 	13843 	14142 	14533 	14506 	14281 b	15475 	15736 	16070 	16010 	16439 	16778 	16892 
A,PPS,MED_E,DEG2,T,Y_GE75,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	5153 b	5859 	6048 	: u	6251 u	6512 u	6344 u	8951 u	7829 	9026 	8724 
A,PPS,MED_E,DEG2,T,Y_GE75,LU	24221 	24676 	26349 	25790 	26147 	26458 	28073 	27360 	28275 	26974 b	28462 	27825 	29493 	32123 b	31018 	33056 	33901 	34124 b	33667 b	33255 b
A,PPS,MED_E,DEG2,T,Y_GE75,LV	: 	: 	: u	: u	: u	4532 u	5215 u	5429 u	5107 u	4891 b	4913 	5262 	5412 	5986 	5530 	5740 	6243 	7264 	6922 	7641 
A,PPS,MED_E,DEG2,T,Y_GE75,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5299 	5929 	5897 	6038 	6772 	: 	: 
A,PPS,MED_E,DEG2,T,Y_GE75,MT	: 	: 	8000 	8806 	10006 	9102 	10496 	10061 	10674 	11094 b	11894 	11817 	13363 	12489 	12531 	11733 	12461 	15722 	15283 	15834 
A,PPS,MED_E,DEG2,T,Y_GE75,NL	: 	: 	13697 	13094 	13257 	14868 	15243 	15608 	15312 	16364 b	16712 	15788 	16671 	17043 b	16416 	17084 	17458 	17312 	17763 	18379 
A,PPS,MED_E,DEG2,T,Y_GE75,NO	: 	12631 	13329 	14939 	15539 	17125 	17520 	17551 	18198 	19686 b	21545 	: 	22292 	21723 	21601 	22053 	21576 	23126 	22769 b	23634 
A,PPS,MED_E,DEG2,T,Y_GE75,PL	: 	: 	4895 	5116 	5414 	6675 	6729 	7010 	7690 	8330 b	9644 	9705 	9934 	10594 	10326 	10583 	11343 	12110 	13030 	13877 
A,PPS,MED_E,DEG2,T,Y_GE75,PT	: 	5327 	5369 	5911 	6302 	6877 	7160 	7672 	7636 	8259 b	8496 	9372 	9061 	9208 	9524 	9353 	10432 	11191 	11328 	11340 
A,PPS,MED_E,DEG2,T,Y_GE75,RO	: 	: 	: 	: 	: u	: u	: u	: u	: u	4404 b	4396 	4401 	4512 	4784 	5164 	5821 	6363 	6950 	7323 	8925 
A,PPS,MED_E,DEG2,T,Y_GE75,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4791 	4654 	4866 	4752 	5026 	5379 	5451 	6362 	6401 	6582 
A,PPS,MED_E,DEG2,T,Y_GE75,SE	: 	10280 	11876 	10829 	11731 	13198 b	13007 	13247 	13762 	13882 b	14992 	14981 	14854 	15299 	14571 	14933 	14586 	14960 	16051 	15483 
A,PPS,MED_E,DEG2,T,Y_GE75,SI	: 	: 	9171 	9858 	10221 	11188 	11605 	11117 	11598 	12047 b	12260 	12788 	13428 	13292 	13504 	13308 	13594 	14112 	14607 	15585 
A,PPS,MED_E,DEG2,T,Y_GE75,SK	: 	: 	3380 	3808 	4507 	5414 	6530 	7220 	7799 	8187 b	8380 	8547 	9337 	9458 	8192 	8241 	8554 	8112 	8438 	9093 
A,PPS,MED_E,DEG2,T,Y_GE75,UK	: 	: 	12543 	12758 	13915 	13394 	13122 	12451 	12280 	13307 b	14406 	13450 	15563 	14465 	15190 b	15207 	: 	: 	: 	: 
A,PPS,MED_E,DEG2,T,Y_LT18,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3518 	3621 	3800 	3751 	3756 	: 
A,PPS,MED_E,DEG2,T,Y_LT18,AT	13985 	14961 	15317 	15779 	16700 	17936 b	18399 	18441 	19154 	18674 b	18815 	19030 	18337 	19497 	19789 	20908 	21678 	20994 	22647 	23761 
A,PPS,MED_E,DEG2,T,Y_LT18,BE	16107 	14471 	15982 	17196 	16876 	17708 	17411 	17596 	18621 	19127 b	20628 	20416 	20429 	23187 	22068 	22308 	22861 b	23128 	23912 	25572 
A,PPS,MED_E,DEG2,T,Y_LT18,BG	: 	: 	: 	3146 	3127 	4565 	5021 	5139 	4307 	4813 b	5165 	5819 	6325 	5942 b	6636 	6969 	7864 	7582 	8907 	8062 
A,PPS,MED_E,DEG2,T,Y_LT18,CH	: 	: 	: 	: 	17628 	18331 	19562 	19657 	20096 	21719 b	23881 	23228 b	24288 	25639 	24467 	23678 	23922 	22704 	23192 	24119 
A,PPS,MED_E,DEG2,T,Y_LT18,CY	: 	: 	13769 	16087 	17789 	16949 b	16502 	15787 	16738 	16714 b	15304 	14708 	12417 	13502 	14678 	15044 	16054 	15480 	16616 	17591 
A,PPS,MED_E,DEG2,T,Y_LT18,CZ	: 	: 	7033 	7439 	7929 	8998 	8762 	8947 	9482 	9328 b	9956 	10269 	10892 	11695 	12466 	12974 	13471 	13434 	12578 	14742 
A,PPS,MED_E,DEG2,T,Y_LT18,DE	: 	: 	14406 	14413 	16223 	17455 	17291 	16867 	17754 	19125 b	19337 	18981 	19882 	20166 	21000 	21869 	22632 	23865 b	22207 	22070 
A,PPS,MED_E,DEG2,T,Y_LT18,DK	15637 	15285 	16461 	16502 	16744 	18130 	18530 	18393 	19184 b	18989 b	21087 	21904 	23271 	23341 	22387 	21941 	23375 	22400 b	23095 	23698 
A,PPS,MED_E,DEG2,T,Y_LT18,EA	: 	: 	: 	: 	: 	15642 e	15435 e	15255 e	15764 e	15994 e	16241 e	16251 e	16427 e	17255 e	17355 e	17803 e	18505 e	18911 b	18380 	: 
A,PPS,MED_E,DEG2,T,Y_LT18,EA18	: 	: 	13059 e	13538 e	14385 e	15475 	15428 	15249 	15760 	15980 	16225 	16251 	16429 	17259 	17361 	17807 	18508 	18934 b	: 	: 
A,PPS,MED_E,DEG2,T,Y_LT18,EA19	: 	: 	13059 e	13538 e	14445 e	15475 	15428 	15249 	15760 	15951 	16197 	16224 	16427 e	17255 e	17355 e	17803 e	18505 e	18911 b	18380 	: 
A,PPS,MED_E,DEG2,T,Y_LT18,EA20	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	16159 	16339 	17158 	17260 	17717 	18427 	18830 	18322 	18799 
A,PPS,MED_E,DEG2,T,Y_LT18,EE	: 	5106 u	5613 u	5944 u	7244 u	7205 	8147 	8693 	10404 	7349 b	8079 	9536 b	10476 	11701 	12038 	16167 	17546 	17195 	14739 	18065 
A,PPS,MED_E,DEG2,T,Y_LT18,EL	11699 	11005 u	: u	12056 	11871 	13381 	13854 	15476 	12601 	10675 b	8666 	8613 	8180 	8450 	8637 	9146 	9605 	9561 	9175 	10239 
A,PPS,MED_E,DEG2,T,Y_LT18,ES	: 	9594 	9493 	10519 	11105 	12482 b	12586 	12352 	11767 	12034 b	11955 	11925 	12641 	13432 	13928 	14175 	14446 	15384 	13550 	14382 
A,PPS,MED_E,DEG2,T,Y_LT18,EU	: 	: 	: 	: 	: 	15037 e	14966 e	14706 e	15034 e	14550 e	14880 e	15082 e	15475 e	16074 e	16192 e	16613 e	17307 e	: 	: 	: 
A,PPS,MED_E,DEG2,T,Y_LT18,EU27_2007	: 	: 	12791 e	13288 e	14066 e	15037 e	14966 e	14750 e	15080 e	14599 	14941 	15140 	15532 e	16134 e	16248 e	16663 e	17354 e	: 	: 	: 
A,PPS,MED_E,DEG2,T,Y_LT18,EU27_2020	: 	: 	: 	: 	: 	: 	: 	14605 e	15116 e	14508 e	14854 e	15007 e	15317 e	16102 e	16139 e	16602 e	17394 e	17716 b	17342 	17910 
A,PPS,MED_E,DEG2,T,Y_LT18,EU28	: 	: 	: 	: 	: 	: 	: 	14706 e	15034 e	14551 	14880 	15082 	15475 e	16074 e	16192 e	16613 e	17307 e	: 	: 	: 
A,PPS,MED_E,DEG2,T,Y_LT18,FI	: 	12941 	14173 	15553 	15613 	16415 	17714 	17299 	18101 	19064 b	18982 	18427 	18912 	19323 	19037 	18322 	19209 	19597 	19937 	20074 
A,PPS,MED_E,DEG2,T,Y_LT18,FR	: 	13400 	13812 	14553 	14789 	16516 b	16785 	16977 	17259 	17076 b	16809 	17598 	17340 	18613 	17583 	17480 	18832 	17577 b	18450 	18204 b
A,PPS,MED_E,DEG2,T,Y_LT18,HR	: 	: 	: 	: 	: 	: 	: 	7818 	7299 	6902 b	7115 	7687 	8007 	8588 	9215 	9999 	10514 	11120 	10794 	11343 
A,PPS,MED_E,DEG2,T,Y_LT18,HU	: 	: 	5214 	6005 	6303 	5988 	6203 	6095 	6437 	7375 b	6615 	6672 	7354 	7435 	7081 	7737 	9212 	8643 	9202 	9687 
A,PPS,MED_E,DEG2,T,Y_LT18,IE	12350 	12964 	13498 	14171 	16288 	17522 	15053 	14529 	14765 	14517 b	15161 	15401 	15314 	16241 	15851 	17152 	17652 	16443 b	19472 	18986 
A,PPS,MED_E,DEG2,T,Y_LT18,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	17100 	18300 	18578 	18765 	21420 	: 	: 	: 	: 
A,PPS,MED_E,DEG2,T,Y_LT18,IT	: 	11610 	12109 	12650 	13692 	13789 	13499 	13188 	14111 	13601 	13664 	13924 	13544 b	14291 	14420 	14719 	15525 	16317 	15284 	16452 
A,PPS,MED_E,DEG2,T,Y_LT18,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	6257 b	5854 	6592 	: u	10575 u	7976 u	11096 u	12119 u	11073 	11366 	13127 
A,PPS,MED_E,DEG2,T,Y_LT18,LU	25257 	26660 	29651 	28737 	28825 	29171 	28361 	26891 	27706 	19997 b	20216 	20896 	23794 	21473 b	23998 	21950 	22946 	22182 b	24227 b	24517 b
A,PPS,MED_E,DEG2,T,Y_LT18,LV	: 	: 	4441 u	4088 u	5718 u	9632 	9430 	6435 	6978 	6957 b	6024 	7146 	7901 	9452 	9016 	10282 	11150 	12187 	13586 	14609 
A,PPS,MED_E,DEG2,T,Y_LT18,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4480 	4686 	4883 	4994 	4876 	: 	: 
A,PPS,MED_E,DEG2,T,Y_LT18,MT	: 	: 	9534 	9388 	10190 	10510 	10339 	10244 	11685 	12241 b	12850 	13190 	15674 	17078 	16763 	18876 	17485 	19317 	19260 	20894 
A,PPS,MED_E,DEG2,T,Y_LT18,NL	: 	: 	14165 	14808 	15433 	16808 	16927 	16633 	16778 	17959 b	18096 	18066 	19050 	20693 b	21067 	22199 	22085 	22277 	25439 	26968 
A,PPS,MED_E,DEG2,T,Y_LT18,NO	: 	17691 	18140 	19009 	19816 	21791 	21537 	21331 	22434 	23611 b	24007 	: 	27435 	26964 	25193 	25990 	26109 	26699 	25121 b	25607 
A,PPS,MED_E,DEG2,T,Y_LT18,PL	: 	: 	4019 	4263 	4803 	5787 	6364 	6789 	7551 	8377 b	8989 	9452 	9806 	10843 	11294 	11949 	12725 	13935 	14074 	14757 
A,PPS,MED_E,DEG2,T,Y_LT18,PT	: 	6818 	7160 	7560 	7845 	8155 	7742 	8259 	8474 	9132 b	9185 	9959 	10260 	10124 	10272 	10604 	11264 	11614 	12501 	11249 
A,PPS,MED_E,DEG2,T,Y_LT18,RO	: 	: 	: 	: 	3296 u	3811 u	3473 u	2744 u	3530 u	3662 b	3613 	3753 	4118 	4524 	4946 	6173 	7044 	7286 	8356 	9229 
A,PPS,MED_E,DEG2,T,Y_LT18,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4341 	4397 	4461 	4952 	5075 	5033 	6086 	6688 	7033 	7888 
A,PPS,MED_E,DEG2,T,Y_LT18,SE	: 	13687 	15029 	14706 	15511 	17516 b	18443 	18435 	19246 	19540 b	19639 	18411 	19886 	20449 	19490 	19449 	19822 	19314 	19640 	19702 
A,PPS,MED_E,DEG2,T,Y_LT18,SI	: 	: 	11508 	11960 	12891 	13953 	14138 	13660 	13622 	14422 b	14503 	14583 	15127 	15400 	15421 	15747 	16728 	16750 	17320 	19061 
A,PPS,MED_E,DEG2,T,Y_LT18,SK	: 	: 	3811 	4428 	5323 	6249 	7226 	7590 	8157 	8905 b	8823 	8763 	8941 	9234 	8594 	8845 	9429 	9029 	8383 	8554 
A,PPS,MED_E,DEG2,T,Y_LT18,UK	: 	: 	18297 	18112 	18124 	17780 	16777 	15776 	14493 	14830 b	15043 	15617 	16685 	15848 	16554 b	16689 	: 	: 	: 	: 
A,PPS,MED_E,DEG3,F,TOTAL,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2786 	3176 	3474 	3528 	3504 	: 
A,PPS,MED_E,DEG3,F,TOTAL,AT	14279 	15789 	15979 	16493 	17032 	18061 b	18651 	18923 	19563 	20332 b	20539 	21401 	22025 	22841 	23183 	22964 	23485 	23575 	24823 	25578 
A,PPS,MED_E,DEG3,F,TOTAL,BE	13413 	14804 	14591 	15451 	14874 	15633 	17858 	15381 	17297 	17930 b	19112 	19209 	19580 	21052 	20563 	20951 	21673 b	22248 	22430 	24174 
A,PPS,MED_E,DEG3,F,TOTAL,BG	: 	: 	: 	2721 	2853 	4048 	4727 	4642 	4557 	4162 b	4388 	5183 	5044 	5001 b	5448 	5291 	6164 	6369 	7369 	7413 
A,PPS,MED_E,DEG3,F,TOTAL,CH	: 	: 	: 	: 	18388 	19243 	19541 	19833 	20607 	22551 b	23565 	23243 b	24457 	25841 	25068 	25661 	25317 	25237 	24885 	25849 
A,PPS,MED_E,DEG3,F,TOTAL,CY	: 	: 	13719 	14812 	16656 	16308 b	16849 	16121 	16760 	17631 b	15300 	14279 	13367 	14503 	14654 	15771 	16264 	15803 	15429 	16326 
A,PPS,MED_E,DEG3,F,TOTAL,CZ	: 	: 	7284 	7822 	8276 	9194 	8844 	8964 	9426 	9714 b	10222 	10403 	11073 	12198 	12413 	12770 	13559 	13562 	13235 	14653 
A,PPS,MED_E,DEG3,F,TOTAL,DE	: 	: 	14467 	14546 	15681 	15820 	16143 	15551 	16440 	17991 b	18432 	18673 	19650 	20757 	20615 	21295 	22398 	24133 b	23057 	22987 
A,PPS,MED_E,DEG3,F,TOTAL,DK	14734 	14304 	14816 	15535 	15500 	16272 	16574 	16527 	17932 b	18909 b	19533 	19206 	19376 	20532 	20218 	20763 	21583 	21222 b	21776 	22498 
A,PPS,MED_E,DEG3,F,TOTAL,EA	: 	: 	: 	: 	: 	14322 e	14328 e	14238 e	14355 e	15594 e	15666 e	15642 e	16221 e	16925 e	17061 e	17302 e	17895 e	18049 b	18452 	: 
