freq,unit,landuse,geo,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
A,KM2,L0008,BE321,486.0,486.0,486.0,486.0,486.0,486.0,486.0,486.0,486.0,486.0,486.0,486.0,486.0,486.0,486.0,486.0,486.0,486.0,486.0,486.0,484.0,486.0,486.0,486.0,486.0,486.0
A,KM2,L0008,BE322,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,553.0,555.0,555.0,555.0,555.0,555.0
A,KM2,L0008,BE323,580.0,580.0,580.0,580.0,580.0,580.0,580.0,580.0,580.0,580.0,580.0,580.0,580.0,580.0,580.0,580.0,580.0,580.0,580.0,580.0,580.0,581.0,581.0,581.0,581.0,581.0
A,KM2,L0008,BE324,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,100.0,101.0,101.0,101.0,101.0,101.0
A,KM2,L0008,BE325,517.0,517.0,517.0,517.0,517.0,517.0,517.0,517.0,517.0,517.0,517.0,517.0,517.0,517.0,517.0,517.0,517.0,517.0,517.0,517.0,516.0,517.0,517.0,517.0,517.0,517.0
A,KM2,L0008,BE326,928.0,928.0,928.0,928.0,928.0,928.0,928.0,928.0,928.0,928.0,928.0,928.0,928.0,928.0,928.0,928.0,928.0,928.0,928.0,928.0,929.0,929.0,929.0,929.0,929.0,929.0
A,KM2,L0008,BE327,606.0,606.0,606.0,606.0,606.0,606.0,606.0,606.0,606.0,606.0,606.0,606.0,606.0,606.0,606.0,606.0,606.0,606.0,606.0,606.0,606.0,607.0,607.0,607.0,607.0,607.0
A,KM2,L0008,BE33,3845.0,3845.0,3845.0,3845.0,3845.0,3845.0,3845.0,3845.0,3845.0,3845.0,3845.0,3845.0,3845.0,3845.0,3845.0,3845.0,3845.0,3845.0,3845.0,3845.0,3855.0,3844.0,3844.0,3844.0,3844.0,3844.0
A,KM2,L0008,BE331,656.0,656.0,656.0,656.0,656.0,656.0,656.0,656.0,656.0,656.0,656.0,656.0,656.0,656.0,656.0,656.0,656.0,656.0,656.0,656.0,658.0,656.0,656.0,656.0,656.0,656.0
A,KM2,L0008,BE332,788.0,788.0,788.0,788.0,788.0,788.0,788.0,788.0,788.0,788.0,788.0,788.0,788.0,788.0,788.0,788.0,788.0,788.0,788.0,788.0,796.0,787.0,787.0,787.0,787.0,787.0
A,KM2,L0008,BE334,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,389.0,390.0,390.0,390.0,390.0,390.0
A,KM2,L0008,BE335,1160.0,1160.0,1160.0,1160.0,1160.0,1160.0,1160.0,1160.0,1160.0,1160.0,1160.0,1160.0,1160.0,1160.0,1160.0,1160.0,1160.0,1160.0,1160.0,1160.0,1161.0,1160.0,1160.0,1160.0,1160.0,1160.0
A,KM2,L0008,BE336,851.0,851.0,851.0,851.0,851.0,851.0,851.0,851.0,851.0,851.0,851.0,851.0,851.0,851.0,851.0,851.0,851.0,851.0,851.0,851.0,851.0,851.0,851.0,851.0,851.0,851.0
A,KM2,L0008,BE34,4438.0,4438.0,4438.0,4438.0,4438.0,4438.0,4438.0,4438.0,4438.0,4438.0,4438.0,4438.0,4438.0,4438.0,4438.0,4438.0,4438.0,4438.0,4438.0,4438.0,4430.0,4439.0,4439.0,4439.0,4439.0,4439.0
A,KM2,L0008,BE341,317.0,317.0,317.0,317.0,317.0,317.0,317.0,317.0,317.0,317.0,317.0,317.0,317.0,317.0,317.0,317.0,317.0,317.0,317.0,317.0,315.0,317.0,317.0,317.0,317.0,317.0
A,KM2,L0008,BE342,1042.0,1042.0,1042.0,1042.0,1042.0,1042.0,1042.0,1042.0,1042.0,1042.0,1042.0,1042.0,1042.0,1042.0,1042.0,1042.0,1042.0,1042.0,1042.0,1042.0,1041.0,1043.0,1043.0,1043.0,1043.0,1043.0
A,KM2,L0008,BE343,954.0,954.0,954.0,954.0,954.0,954.0,954.0,954.0,954.0,954.0,954.0,954.0,954.0,954.0,954.0,954.0,954.0,954.0,954.0,954.0,953.0,954.0,954.0,954.0,954.0,954.0
