freq,unit,geo\TIME_PERIOD,2015,2016,2017,2018,2019,2020,2021,2022
A,PC,RO1,31.0,30.3,24.3,19.5,15.8,19.3,19.2,21.0
A,PC,RO11,29.2,33.3,25.9,20.4,15.4,17.7,15.7,18.9
A,PC,RO12,33.1,27.0,22.5,18.5,16.3,21.1,23.1,23.3
A,PC,RO2,41.1,43.0,36.9,35.1,32.3,32.2,29.8,28.4
A,PC,RO21,36.9,39.2,32.0,30.4,26.1,25.6,23.6,24.4
A,PC,RO22,46.9,48.1,43.5,41.3,40.7,41.1,38.1,34.0
A,PC,RO3,33.4,37.5,37.3,33.5,28.4,25.9,22.2,23.1
A,PC,RO31,39.6,43.2,43.6,38.5,35.3,35.2,28.4,28.8
A,PC,RO32,24.0,29.7,29.0,26.9,19.6,14.4,14.4,16.3
A,PC,RO4,26.7,30.4,29.3,22.6,18.7,22.0,19.6,24.0
A,PC,RO41,32.0,36.5,39.2,33.0,24.1,24.5,21.8,29.6
A,PC,RO42,19.8,23.6,18.5,11.3,12.9,19.2,17.2,18.0
A,PC,RS,25.1,:,22.8,17.4,14.3,14.1,13.3,14.1
A,PC,RS1,23.6,:,22.9,17.2,14.3,13.3,14.6,17.5
A,PC,RS2,26.7,:,22.8,17.6,14.3,14.8,11.8,10.4
A,PC,SE,1.1b,0.7,1.0,1.4,1.5,2.0,1.4,2.3
A,PC,SE1,1.0b,0.8,1.0,1.1,1.9,2.0,1.4,2.1
A,PC,SE11,1.3b,0.7,0.9,1.0,1.6,2.0,1.4,1.5
A,PC,SE12,0.6b,0.9,1.1,1.4,2.2,1.9,1.4,2.9
A,PC,SE2,1.4b,0.7,1.2,1.4,1.3,2.1,1.5,2.8
A,PC,SE21,2.2b,1.8,1.3,1.0,1.5,2.7,1.0,2.1
A,PC,SE22,1.5b,0.8,1.5,2.8,1.9,1.9,2.3,4.4
A,PC,SE23,1.0b,0.1,0.9,0.6,0.8,2.0,1.2,2.0
A,PC,SE3,0.4b,0.7,0.7,1.8,1.3,1.8,1.2,1.3
A,PC,SE31,0.0b,0.7,0.7,2.5,1.0,1.7,1.6,1.2
A,PC,SE32,0.3b,1.3,0.0,1.1,1.6,2.6,1.9,1.5
A,PC,SE33,1.0b,0.5,1.3,1.3,1.6,1.4,0.1,1.3
A,PC,SI,4.8,4.1,4.5,3.2,2.2,2.6,1.8,1.4
A,PC,SI01,5.7,4.7,5.9,:,:,:,:,:
A,PC,SI02,3.8,3.3,2.8,:,:,:,:,:
A,PC,SI03,:,:,:,4.2,2.8,3.4,2.3,1.9
A,PC,SI04,:,:,:,2.0,1.5,1.6,1.2,0.9
A,PC,SK,8.4,7.6,6.3,5.4,5.9,4.5,5.7,6.3
A,PC,SK01,6.7,6.7,5.8,3.2,3.6,2.0,2.3,3.1
A,PC,SK02,6.6,6.3,4.4,3.1,3.6,2.8,4.2,4.6
A,PC,SK03,9.5,8.3,7.8,6.9,7.4,6.6,6.8,7.5
A,PC,SK04,10.2,8.9,7.6,7.7,8.1,5.8,7.8,8.8
A,PC,TR,:,:,15.4,15.4,15.9,16.7,18.2,:
A,PC,UK,6.7,6.5,4.7b,4.5,:,:,:,:
